k_yomiyasusa,k_seizensa,k_chikarazuyosa,k_akarusa,k_dokujisei,k_jidaisei,k_atatakasa,g_yomiyasusa,g_seizensa,g_chikarazuyosa,g_akarusa,g_dokujisei,g_jidaisei,g_atatakasa,s_yomiyasusa,s_seizensa,s_chikarazuyosa,s_akarusa,s_dokujisei,s_jidaisei,s_atatakasa,suki
86,83,100,94,53,34,68,83,60,25,49,64,46,24,22,45,11,49,71,1,40,gyosho
64,74,35,65,20,30,65,66,72,85,72,77,30,76,39,42,88,82,92,17,73,sousho
53,50,50,50,50,50,50,38,47,51,50,50,50,50,44,50,36,49,49,37,50,
73,77,69,8,35,62,49,39,40,57,25,57,79,93,14,66,100,79,98,8,37,sousho
70,70,66,87,44,94,29,75,57,96,11,83,20,44,39,22,33,43,6,1,67,kaisho
41,27,96,33,2,29,73,23,43,98,5,61,6,1,6,83,50,57,49,0,45,gyosho
82,60,2,27,71,57,13,89,61,78,70,54,34,44,15,50,19,23,18,8,90,sousho
95,1,21,2,49,89,79,56,4,9,49,28,17,78,54,57,43,12,88,48,45,kaisho
97,8,83,8,85,79,81,70,98,23,76,37,30,27,15,12,68,17,77,52,53,gyosho
85,92,68,32,27,88,3,92,80,11,68,35,16,62,21,64,57,21,49,0,65,gyosho
79,94,76,44,14,85,46,16,10,59,55,39,12,95,14,11,100,91,64,9,99,kaisho
81,100,27,29,63,69,53,64,32,7,92,29,62,72,10,88,36,84,51,18,98,gyosho
56,66,77,45,24,69,53,33,73,89,44,92,40,4,44,49,31,19,10,25,17,kaisho
66,70,48,66,62,11,98,89,64,89,87,83,75,1,25,34,98,97,86,11,89,sousho
86,92,51,73,52,71,100,64,68,75,81,61,79,40,37,48,82,78,88,48,84,kaisho
